,raceId,driverId,constructorId,position,q1,q2,q3
39,19,6,3,18,0 days 00:01:36.388000,0 days 00:00:00,0 days 00:00:00
40,19,7,5,19,0 days 00:01:36.677000,0 days 00:00:00,0 days 00:00:00
41,19,11,8,20,0 days 00:01:37.087000,0 days 00:00:00,0 days 00:00:00
42,19,16,10,21,0 days 00:01:37.101000,0 days 00:00:00,0 days 00:00:00
43,19,19,8,22,0 days 00:01:37.481000,0 days 00:00:00,0 days 00:00:00
44,20,9,2,1,0 days 00:01:32.893000,0 days 00:01:31.745000,0 days 00:01:33.096000
45,20,13,6,2,0 days 00:01:31.937000,0 days 00:01:31.188000,0 days 00:01:33.123000
46,20,1,1,3,0 days 00:01:32.750000,0 days 00:01:31.922000,0 days 00:01:33.292000
47,20,8,6,4,0 days 00:01:32.652000,0 days 00:01:31.933000,0 days 00:01:33.418000
48,20,5,1,5,0 days 00:01:33.057000,0 days 00:01:31.718000,0 days 00:01:33.488000
49,20,2,2,6,0 days 00:01:33.137000,0 days 00:01:31.909000,0 days 00:01:33.737000
50,20,15,7,7,0 days 00:01:32.493000,0 days 00:01:32.159000,0 days 00:01:33.994000
51,20,3,3,8,0 days 00:01:32.903000,0 days 00:01:32.185000,0 days 00:01:34.015000
52,20,18,11,9,0 days 00:01:32.793000,0 days 00:01:32.362000,0 days 00:01:35.057000
53,20,4,4,10,0 days 00:01:32.947000,0 days 00:01:32.345000,0 days 00:01:35.115000
54,20,17,9,11,0 days 00:01:33.194000,0 days 00:01:32.371000,0 days 00:00:00
55,20,22,11,12,0 days 00:01:32.944000,0 days 00:01:32.508000,0 days 00:00:00
56,20,10,7,13,0 days 00:01:32.800000,0 days 00:01:32.528000,0 days 00:00:00
57,20,12,4,14,0 days 00:01:32.975000,0 days 00:01:32.790000,0 days 00:00:00
58,20,7,5,15,0 days 00:01:33.415000,0 days 00:01:32.915000,0 days 00:00:00
59,20,6,3,16,0 days 00:01:33.386000,0 days 00:01:32.943000,0 days 00:00:00
60,20,14,9,17,0 days 00:01:33.433000,0 days 00:00:00,0 days 00:00:00
61,20,21,10,18,0 days 00:01:33.501000,0 days 00:00:00,0 days 00:00:00
62,20,20,5,19,0 days 00:01:33.562000,0 days 00:00:00,0 days 00:00:00
63,20,16,10,20,0 days 00:01:33.845000,0 days 00:00:00,0 days 00:00:00
64,20,19,8,21,0 days 00:01:34.140000,0 days 00:00:00,0 days 00:00:00
65,20,11,8,22,0 days 00:01:35.725000,0 days 00:00:00,0 days 00:00:00
66,21,8,6,1,0 days 00:01:20.701000,0 days 00:01:20.784000,0 days 00:01:21.813000
67,21,4,4,2,0 days 00:01:21.347000,0 days 00:01:20.804000,0 days 00:01:21.904000
68,21,13,6,3,0 days 00:01:21.528000,0 days 00:01:20.584000,0 days 00:01:22.058000
69,21,9,2,4,0 days 00:01:21.423000,0 days 00:01:20.597000,0 days 00:01:22.065000
70,21,1,1,5,0 days 00:01:21.366000,0 days 00:01:20.825000,0 days 00:01:22.096000
71,21,5,1,6,0 days 00:01:21.430000,0 days 00:01:20.817000,0 days 00:01:22.231000
72,21,17,9,7,0 days 00:01:21.494000,0 days 00:01:20.984000,0 days 00:01:22.429000
73,21,15,7,8,0 days 00:01:21.158000,0 days 00:01:20.907000,0 days 00:01:22.529000
74,21,2,2,9,0 days 00:01:21.466000,0 days 00:01:20.815000,0 days 00:01:22.542000
75,21,12,4,10,0 days 00:01:21.409000,0 days 00:01:20.894000,0 days 00:01:22.699000
76,21,22,11,11,0 days 00:01:21.548000,0 days 00:01:21.049000,0 days 00:00:00
77,21,6,3,12,0 days 00:01:21.690000,0 days 00:01:21.117000,0 days 00:00:00
78,21,18,11,13,0 days 00:01:21.757000,0 days 00:01:21.211000,0 days 00:00:00
79,21,10,7,14,0 days 00:01:21.427000,0 days 00:01:21.230000,0 days 00:00:00
80,21,3,3,15,0 days 00:01:21.472000,0 days 00:01:21.349000,0 days 00:00:00
81,21,7,5,16,0 days 00:01:21.540000,0 days 00:01:21.724000,0 days 00:00:00
82,21,14,9,17,0 days 00:01:21.810000,0 days 00:00:00,0 days 00:00:00
83,21,20,5,18,0 days 00:01:22.108000,0 days 00:00:00,0 days 00:00:00
84,21,21,10,19,0 days 00:01:22.516000,0 days 00:00:00,0 days 00:00:00
85,21,16,10,20,0 days 00:01:23.224000,0 days 00:00:00,0 days 00:00:00
86,21,19,8,21,0 days 00:01:23.318000,0 days 00:00:00,0 days 00:00:00
87,21,11,8,22,0 days 00:01:23.496000,0 days 00:00:00,0 days 00:00:00
88,22,13,6,1,0 days 00:01:25.994000,0 days 00:01:26.192000,0 days 00:01:27.617000
89,22,5,1,2,0 days 00:01:26.736000,0 days 00:01:26.290000,0 days 00:01:27.808000
90,22,1,1,3,0 days 00:01:26.192000,0 days 00:01:26.477000,0 days 00:01:27.923000
91,22,8,6,4,0 days 00:01:26.457000,0 days 00:01:26.050000,0 days 00:01:27.936000
92,22,9,2,5,0 days 00:01:26.761000,0 days 00:01:26.129000,0 days 00:01:28.390000
93,22,17,9,6,0 days 00:01:26.773000,0 days 00:01:26.466000,0 days 00:01:28.417000
94,22,4,4,7,0 days 00:01:26.836000,0 days 00:01:26.522000,0 days 00:01:28.422000
95,22,15,7,8,0 days 00:01:26.695000,0 days 00:01:26.822000,0 days 00:01:28.836000
96,22,2,2,9,0 days 00:01:27.107000,0 days 00:01:27.607000,0 days 00:01:28.882000
97,22,14,9,10,0 days 00:01:26.939000,0 days 00:01:26.520000,0 days 00:01:29.959000
98,22,3,3,11,0 days 00:01:27.367000,0 days 00:01:27.012000,0 days 00:00:00
99,22,22,11,12,0 days 00:01:27.355000,0 days 00:01:27.219000,0 days 00:00:00
100,22,18,11,13,0 days 00:01:27.428000,0 days 00:01:27.298000,0 days 00:00:00
101,22,20,5,14,0 days 00:01:27.442000,0 days 00:01:27.412000,0 days 00:00:00
102,22,10,7,15,0 days 00:01:26.614000,0 days 00:01:27.806000,0 days 00:00:00
103,22,6,3,16,0 days 00:01:27.547000,0 days 00:00:00,0 days 00:00:00
104,22,12,4,17,0 days 00:01:27.568000,0 days 00:00:00,0 days 00:00:00
105,22,7,5,18,0 days 00:01:27.621000,0 days 00:00:00,0 days 00:00:00
106,22,21,10,19,0 days 00:01:27.807000,0 days 00:00:00,0 days 00:00:00
107,22,16,10,20,0 days 00:01:28.325000,0 days 00:00:00,0 days 00:00:00
108,23,13,6,1,0 days 00:01:15.190000,0 days 00:01:15.110000,0 days 00:01:15.787000
109,23,8,6,2,0 days 00:01:15.717000,0 days 00:01:15.404000,0 days 00:01:15.815000
110,23,1,1,3,0 days 00:01:15.582000,0 days 00:01:15.322000,0 days 00:01:15.839000
111,23,5,1,4,0 days 00:01:15.295000,0 days 00:01:15.389000,0 days 00:01:16.165000
112,23,9,2,5,0 days 00:01:15.977000,0 days 00:01:15.483000,0 days 00:01:16.171000
113,23,3,3,6,0 days 00:01:15.935000,0 days 00:01:15.287000,0 days 00:01:16.548000
114,23,4,4,7,0 days 00:01:16.646000,0 days 00:01:15.827000,0 days 00:01:16.852000
115,23,15,7,8,0 days 00:01:16.306000,0 days 00:01:15.598000,0 days 00:01:17.203000
116,23,17,9,9,0 days 00:01:16.074000,0 days 00:01:15.745000,0 days 00:01:17.343000
117,23,14,9,10,0 days 00:01:16.086000,0 days 00:01:15.839000,0 days 00:00:00
118,23,10,7,11,0 days 00:01:16.285000,0 days 00:01:15.907000,0 days 00:00:00
119,23,18,11,12,0 days 00:01:16.259000,0 days 00:01:16.101000,0 days 00:00:00
120,23,2,2,13,0 days 00:01:16.650000,0 days 00:01:16.455000,0 days 00:00:00
121,23,6,3,14,0 days 00:01:16.756000,0 days 00:01:16.479000,0 days 00:00:00
122,23,22,11,15,0 days 00:01:16.208000,0 days 00:01:16.537000,0 days 00:00:00
123,23,7,5,16,0 days 00:01:16.806000,0 days 00:00:00,0 days 00:00:00
124,23,12,4,17,0 days 00:01:16.933000,0 days 00:00:00,0 days 00:00:00
125,23,20,5,18,0 days 00:01:16.955000,0 days 00:00:00,0 days 00:00:00
126,23,16,10,19,0 days 00:01:17.225000,0 days 00:00:00,0 days 00:00:00
127,23,21,10,20,0 days 00:01:17.823000,0 days 00:00:00,0 days 00:00:00
128,24,1,1,1,0 days 00:01:16.909000,0 days 00:01:17.034000,0 days 00:01:17.886000
129,24,9,2,2,0 days 00:01:17.471000,0 days 00:01:17.679000,0 days 00:01:18.498000
130,24,8,6,3,0 days 00:01:17.301000,0 days 00:01:17.364000,0 days 00:01:18.735000
131,24,4,4,4,0 days 00:01:17.415000,0 days 00:01:17.488000,0 days 00:01:18.746000
132,24,3,3,5,0 days 00:01:17.991000,0 days 00:01:17.891000,0 days 00:01:18.844000
133,24,13,6,6,0 days 00:01:17.231000,0 days 00:01:17.353000,0 days 00:01:19.048000
134,24,5,1,7,0 days 00:01:17.287000,0 days 00:01:17.684000,0 days 00:01:19.089000
135,24,2,2,8,0 days 00:01:18.082000,0 days 00:01:17.781000,0 days 00:01:19.633000
136,24,22,11,9,0 days 00:01:18.256000,0 days 00:01:18.020000,0 days 00:01:20.848000
137,24,17,9,10,0 days 00:01:17.582000,0 days 00:01:17.523000,0 days 00:00:00
138,24,10,7,11,0 days 00:01:18.321000,0 days 00:01:18.031000,0 days 00:00:00
139,24,6,3,12,0 days 00:01:17.638000,0 days 00:01:18.062000,0 days 00:00:00
140,24,14,9,13,0 days 00:01:18.168000,0 days 00:01:18.238000,0 days 00:00:00
141,24,15,7,14,0 days 00:01:18.039000,0 days 00:01:18.327000,0 days 00:00:00
142,24,12,4,15,0 days 00:01:18.505000,0 days 00:01:18.393000,0 days 00:00:00
143,24,7,5,16,0 days 00:01:18.916000,0 days 00:00:00,0 days 00:00:00
144,24,16,10,17,0 days 00:01:19.108000,0 days 00:00:00,0 days 00:00:00
145,24,21,10,18,0 days 00:01:19.165000,0 days 00:00:00,0 days 00:00:00
146,24,18,11,19,0 days 00:01:23.565000,0 days 00:00:00,0 days 00:00:00
147,24,20,5,20,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
148,25,8,6,1,0 days 00:01:15.133000,0 days 00:01:15.161000,0 days 00:01:16.449000
149,25,13,6,2,0 days 00:01:15.024000,0 days 00:01:15.041000,0 days 00:01:16.490000
150,25,1,1,3,0 days 00:01:15.634000,0 days 00:01:15.293000,0 days 00:01:16.693000
151,25,4,4,4,0 days 00:01:15.754000,0 days 00:01:15.483000,0 days 00:01:16.840000
152,25,15,7,5,0 days 00:01:15.521000,0 days 00:01:15.362000,0 days 00:01:16.920000
153,25,5,1,6,0 days 00:01:15.965000,0 days 00:01:15.639000,0 days 00:01:16.944000
154,25,9,2,7,0 days 00:01:15.687000,0 days 00:01:15.723000,0 days 00:01:17.037000
155,25,17,9,8,0 days 00:01:16.020000,0 days 00:01:15.488000,0 days 00:01:17.233000
156,25,14,9,9,0 days 00:01:15.802000,0 days 00:01:15.654000,0 days 00:01:17.426000
157,25,10,7,10,0 days 00:01:15.727000,0 days 00:01:15.558000,0 days 00:01:17.596000
158,25,12,4,11,0 days 00:01:15.848000,0 days 00:01:15.770000,0 days 00:00:00
159,25,2,2,12,0 days 00:01:16.006000,0 days 00:01:15.786000,0 days 00:00:00
160,25,20,5,13,0 days 00:01:15.918000,0 days 00:01:15.816000,0 days 00:00:00
161,25,7,5,14,0 days 00:01:16.072000,0 days 00:01:16.045000,0 days 00:00:00
162,25,3,3,15,0 days 00:01:16.085000,0 days 00:01:16.235000,0 days 00:00:00
163,25,6,3,16,0 days 00:01:16.243000,0 days 00:00:00,0 days 00:00:00
164,25,18,11,17,0 days 00:01:16.306000,0 days 00:00:00,0 days 00:00:00
165,25,22,11,18,0 days 00:01:16.330000,0 days 00:00:00,0 days 00:00:00
166,25,21,10,19,0 days 00:01:16.971000,0 days 00:00:00,0 days 00:00:00
167,25,16,10,20,0 days 00:01:17.053000,0 days 00:00:00,0 days 00:00:00
168,26,5,1,1,0 days 00:01:19.957000,0 days 00:01:19.597000,0 days 00:01:21.049000
169,26,17,9,2,0 days 00:01:20.982000,0 days 00:01:19.710000,0 days 00:01:21.554000
170,26,8,6,3,0 days 00:01:20.370000,0 days 00:01:19.971000,0 days 00:01:21.706000
171,26,1,1,4,0 days 00:01:20.288000,0 days 00:01:19.537000,0 days 00:01:21.835000
172,26,2,2,5,0 days 00:01:21.022000,0 days 00:01:19.802000,0 days 00:01:21.873000
173,26,4,4,6,0 days 00:01:20.998000,0 days 00:01:19.992000,0 days 00:01:22.029000
174,26,12,4,7,0 days 00:01:20.818000,0 days 00:01:20.115000,0 days 00:01:22.491000
175,26,20,5,8,0 days 00:01:20.318000,0 days 00:01:20.109000,0 days 00:01:23.251000
176,26,13,6,9,0 days 00:01:20.676000,0 days 00:01:20.086000,0 days 00:01:23.305000
177,26,9,2,10,0 days 00:01:20.444000,0 days 00:01:19.788000,0 days 00:00:00
178,26,14,9,11,0 days 00:01:21.224000,0 days 00:01:20.174000,0 days 00:00:00
179,26,10,7,12,0 days 00:01:20.893000,0 days 00:01:20.274000,0 days 00:00:00
180,26,7,5,13,0 days 00:01:20.584000,0 days 00:01:20.531000,0 days 00:00:00
181,26,15,7,14,0 days 00:01:21.145000,0 days 00:01:20.601000,0 days 00:00:00
182,26,6,3,15,0 days 00:01:21.407000,0 days 00:01:21.112000,0 days 00:00:00
183,26,22,11,16,0 days 00:01:21.512000,0 days 00:00:00,0 days 00:00:00
184,26,18,11,17,0 days 00:01:21.631000,0 days 00:00:00,0 days 00:00:00
185,26,3,3,18,0 days 00:01:21.668000,0 days 00:00:00,0 days 00:00:00
186,26,16,10,19,0 days 00:01:21.786000,0 days 00:00:00,0 days 00:00:00
187,26,21,10,20,0 days 00:01:21.885000,0 days 00:00:00,0 days 00:00:00
188,27,1,1,1,0 days 00:01:15.218000,0 days 00:01:14.603000,0 days 00:01:15.666000
189,27,13,6,2,0 days 00:01:14.921000,0 days 00:01:14.747000,0 days 00:01:15.859000
190,27,5,1,3,0 days 00:01:15.476000,0 days 00:01:14.855000,0 days 00:01:16.143000
191,27,15,7,4,0 days 00:01:15.560000,0 days 00:01:15.122000,0 days 00:01:16.191000
192,27,4,4,5,0 days 00:01:15.917000,0 days 00:01:14.943000,0 days 00:01:16.385000
193,27,8,6,6,0 days 00:01:15.201000,0 days 00:01:14.949000,0 days 00:01:16.389000
194,27,9,2,7,0 days 00:01:15.985000,0 days 00:01:15.109000,0 days 00:01:16.521000
195,27,17,9,8,0 days 00:01:15.900000,0 days 00:01:15.481000,0 days 00:01:17.014000
196,27,20,5,9,0 days 00:01:15.532000,0 days 00:01:15.420000,0 days 00:01:17.244000
197,27,14,9,10,0 days 00:01:15.975000,0 days 00:01:15.338000,0 days 00:01:17.503000
198,27,10,7,11,0 days 00:01:15.560000,0 days 00:01:15.508000,0 days 00:00:00
199,27,2,2,12,0 days 00:01:15.596000,0 days 00:01:15.581000,0 days 00:00:00
200,27,3,3,13,0 days 00:01:15.863000,0 days 00:01:15.633000,0 days 00:00:00
201,27,18,11,14,0 days 00:01:15.993000,0 days 00:01:15.701000,0 days 00:00:00
202,27,7,5,15,0 days 00:01:15.927000,0 days 00:01:15.858000,0 days 00:00:00
203,27,6,3,16,0 days 00:01:16.083000,0 days 00:00:00,0 days 00:00:00
204,27,12,4,17,0 days 00:01:16.189000,0 days 00:00:00,0 days 00:00:00
205,27,22,11,18,0 days 00:01:16.246000,0 days 00:00:00,0 days 00:00:00
206,27,16,10,19,0 days 00:01:16.657000,0 days 00:00:00,0 days 00:00:00
207,27,21,10,20,0 days 00:01:16.963000,0 days 00:00:00,0 days 00:00:00
208,28,1,1,1,0 days 00:01:19.376000,0 days 00:01:19.473000,0 days 00:01:20.899000
209,28,5,1,2,0 days 00:01:19.945000,0 days 00:01:19.480000,0 days 00:01:21.140000
210,28,13,6,3,0 days 00:01:19.578000,0 days 00:01:19.068000,0 days 00:01:21.191000
211,28,9,2,4,0 days 00:01:20.053000,0 days 00:01:19.776000,0 days 00:01:21.281000
212,28,10,7,5,0 days 00:01:19.980000,0 days 00:01:19.246000,0 days 00:01:21.326000
213,28,8,6,6,0 days 00:01:20.006000,0 days 00:01:19.546000,0 days 00:01:21.516000
214,28,4,4,7,0 days 00:01:20.229000,0 days 00:01:19.816000,0 days 00:01:21.698000
215,28,17,9,8,0 days 00:01:20.073000,0 days 00:01:20.046000,0 days 00:01:21.732000
216,28,15,7,9,0 days 00:01:19.942000,0 days 00:01:19.486000,0 days 00:01:21.767000
217,28,12,4,10,0 days 00:01:20.583000,0 days 00:01:20.131000,0 days 00:01:22.371000
218,28,20,5,11,0 days 00:01:20.157000,0 days 00:01:20.144000,0 days 00:00:00
219,28,18,11,12,0 days 00:01:20.888000,0 days 00:01:20.332000,0 days 00:00:00
220,28,14,9,13,0 days 00:01:20.505000,0 days 00:01:20.502000,0 days 00:00:00
221,28,7,5,14,0 days 00:01:20.640000,0 days 00:01:20.963000,0 days 00:00:00
222,28,3,3,15,0 days 00:01:20.748000,0 days 00:00:00,0 days 00:00:00
223,28,2,2,16,0 days 00:01:21.045000,0 days 00:00:00,0 days 00:00:00
224,28,6,3,17,0 days 00:01:21.085000,0 days 00:00:00,0 days 00:00:00
225,28,22,11,18,0 days 00:01:21.332000,0 days 00:00:00,0 days 00:00:00
226,28,21,10,19,0 days 00:01:21.670000,0 days 00:00:00,0 days 00:00:00
227,28,16,10,20,0 days 00:01:22.113000,0 days 00:00:00,0 days 00:00:00
228,29,13,6,1,0 days 00:01:38.176000,0 days 00:01:37.859000,0 days 00:01:38.989000
229,29,1,1,2,0 days 00:01:38.464000,0 days 00:01:37.954000,0 days 00:01:39.199000
230,29,9,2,3,0 days 00:01:38.347000,0 days 00:01:38.050000,0 days 00:01:39.392000
231,29,8,6,4,0 days 00:01:38.703000,0 days 00:01:38.229000,0 days 00:01:39.488000
232,29,5,1,5,0 days 00:01:38.656000,0 days 00:01:38.120000,0 days 00:01:39.937000
233,29,20,5,6,0 days 00:01:38.141000,0 days 00:01:37.842000,0 days 00:01:40.142000
234,29,15,7,7,0 days 00:01:37.948000,0 days 00:01:37.928000,0 days 00:01:40.309000
235,29,2,2,8,0 days 00:01:38.738000,0 days 00:01:37.859000,0 days 00:01:40.631000
236,29,3,3,9,0 days 00:01:38.595000,0 days 00:01:38.336000,0 days 00:01:40.721000
237,29,7,5,10,0 days 00:01:38.622000,0 days 00:01:38.417000,0 days 00:01:40.750000
238,29,6,3,11,0 days 00:01:38.667000,0 days 00:01:38.428000,0 days 00:00:00
239,29,4,4,12,0 days 00:01:38.268000,0 days 00:01:38.435000,0 days 00:00:00
240,29,10,7,13,0 days 00:01:38.532000,0 days 00:01:38.499000,0 days 00:00:00
241,29,17,9,14,0 days 00:01:38.559000,0 days 00:01:38.515000,0 days 00:00:00
242,29,12,4,15,0 days 00:01:38.787000,0 days 00:01:38.744000,0 days 00:00:00
243,29,18,11,16,0 days 00:01:38.880000,0 days 00:00:00,0 days 00:00:00
244,29,14,9,17,0 days 00:01:39.235000,0 days 00:00:00,0 days 00:00:00
245,29,21,10,18,0 days 00:01:39.268000,0 days 00:00:00,0 days 00:00:00
246,29,22,11,19,0 days 00:01:39.811000,0 days 00:00:00,0 days 00:00:00
247,29,16,10,20,0 days 00:01:39.943000,0 days 00:00:00,0 days 00:00:00
248,30,1,1,1,0 days 00:01:46.887000,0 days 00:01:46.088000,0 days 00:01:47.338000
249,30,13,6,2,0 days 00:01:46.873000,0 days 00:01:46.391000,0 days 00:01:47.678000
250,30,5,1,3,0 days 00:01:46.812000,0 days 00:01:46.037000,0 days 00:01:47.815000
251,30,8,6,4,0 days 00:01:46.960000,0 days 00:01:46.298000,0 days 00:01:47.992000
252,30,2,2,5,0 days 00:01:47.419000,0 days 00:01:46.311000,0 days 00:01:48.315000
253,30,4,4,6,0 days 00:01:47.154000,0 days 00:01:46.491000,0 days 00:01:48.504000
254,30,17,9,7,0 days 00:01:47.270000,0 days 00:01:46.814000,0 days 00:01:48.736000
255,30,9,2,8,0 days 00:01:47.093000,0 days 00:01:46.494000,0 days 00:01:48.763000
256,30,7,5,9,0 days 00:01:46.777000,0 days 00:01:46.544000,0 days 00:01:48.951000
257,30,20,5,10,0 days 00:01:47.152000,0 days 00:01:46.804000,0 days 00:01:50.319000
258,30,15,7,11,0 days 00:01:47.400000,0 days 00:01:46.949000,0 days 00:00:00
259,30,12,4,12,0 days 00:01:47.052000,0 days 00:01:46.965000,0 days 00:00:00
260,30,10,7,13,0 days 00:01:47.359000,0 days 00:01:46.995000,0 days 00:00:00
261,30,14,9,14,0 days 00:01:47.132000,0 days 00:01:47.018000,0 days 00:00:00
262,30,3,3,15,0 days 00:01:47.503000,0 days 00:01:47.429000,0 days 00:00:00
263,30,22,11,16,0 days 00:01:48.153000,0 days 00:00:00,0 days 00:00:00
264,30,18,11,17,0 days 00:01:48.211000,0 days 00:00:00,0 days 00:00:00
265,30,16,10,18,0 days 00:01:48.226000,0 days 00:00:00,0 days 00:00:00
266,30,6,3,19,0 days 00:01:48.268000,0 days 00:00:00,0 days 00:00:00
267,30,21,10,20,0 days 00:01:48.447000,0 days 00:00:00,0 days 00:00:00
268,31,20,5,1,0 days 00:01:35.464000,0 days 00:01:35.837000,0 days 00:01:37.555000
269,31,5,1,2,0 days 00:01:35.214000,0 days 00:01:35.843000,0 days 00:01:37.631000
270,31,17,9,3,0 days 00:01:36.001000,0 days 00:01:36.306000,0 days 00:01:38.117000
271,31,7,5,4,0 days 00:01:35.543000,0 days 00:01:36.175000,0 days 00:01:38.445000
272,31,3,3,5,0 days 00:01:35.485000,0 days 00:01:35.898000,0 days 00:01:38.767000
273,31,13,6,6,0 days 00:01:35.536000,0 days 00:01:36.676000,0 days 00:01:38.894000
274,31,15,7,7,0 days 00:01:35.906000,0 days 00:01:36.008000,0 days 00:01:39.152000
275,31,4,4,8,0 days 00:01:36.297000,0 days 00:01:36.518000,0 days 00:01:39.751000
276,31,10,7,9,0 days 00:01:35.737000,0 days 00:01:36.525000,0 days 00:01:39.787000
277,31,2,2,10,0 days 00:01:35.709000,0 days 00:01:36.626000,0 days 00:01:39.906000
278,31,9,2,11,0 days 00:01:35.553000,0 days 00:01:36.697000,0 days 00:00:00
279,31,21,10,12,0 days 00:01:36.280000,0 days 00:01:36.698000,0 days 00:00:00
280,31,14,9,13,0 days 00:01:36.485000,0 days 00:01:37.284000,0 days 00:00:00
281,31,8,6,14,0 days 00:01:35.965000,0 days 00:01:37.522000,0 days 00:00:00
282,31,1,1,15,0 days 00:01:35.394000,0 days 00:01:39.265000,0 days 00:00:00
283,31,22,11,16,0 days 00:01:36.510000,0 days 00:00:00,0 days 00:00:00
284,31,12,4,17,0 days 00:01:36.630000,0 days 00:00:00,0 days 00:00:00
285,31,6,3,18,0 days 00:01:36.653000,0 days 00:00:00,0 days 00:00:00
286,31,18,11,19,0 days 00:01:37.006000,0 days 00:00:00,0 days 00:00:00
287,31,16,10,20,0 days 00:01:37.417000,0 days 00:00:00,0 days 00:00:00
288,32,13,6,1,0 days 00:01:44.519000,0 days 00:01:44.014000,0 days 00:01:44.801000
289,32,1,1,2,0 days 00:01:44.501000,0 days 00:01:44.932000,0 days 00:01:45.465000
290,32,8,6,3,0 days 00:01:44.282000,0 days 00:01:44.232000,0 days 00:01:45.617000
291,32,9,2,4,0 days 00:01:44.740000,0 days 00:01:44.519000,0 days 00:01:45.779000
292,32,5,1,5,0 days 00:01:44.311000,0 days 00:01:44.207000,0 days 00:01:45.873000
293,32,2,2,6,0 days 00:01:45.548000,0 days 00:01:44.520000,0 days 00:01:45.964000
294,32,20,5,7,0 days 00:01:45.042000,0 days 00:01:44.261000,0 days 00:01:46.244000
295,32,10,7,8,0 days 00:01:45.184000,0 days 00:01:44.441000,0 days 00:01:46.328000
296,32,3,3,9,0 days 00:01:45.103000,0 days 00:01:44.429000,0 days 00:01:46.611000
297,32,6,3,10,0 days 00:01:45.127000,0 days 00:01:44.826000,0 days 00:01:47.547000
